Year,Month,TotalMonth,Precipitation (inch),Temperature (F),GrainHeight (inch),NumDeer,NumWolf
2025,  1,  0,  16.13,  47.49, 119.21,   25,    3
2025,  2,  1,  20.44,  51.52, 103.14,   32,    3
2025,  3,  2,  19.59,  63.06,  71.34,   41,    3
2025,  4,  3,  21.87,  61.88,  30.54,   52,    3
2025,  5,  4,  19.46,  69.70,   0.00,   64,    3
2025,  6,  5,  17.07,  78.87,   0.00,   79,    4
2025,  7,  6,  13.50,  76.61,   0.00,   96,    5
2025,  8,  7,  12.42,  83.19,   0.00,  116,    6
2025,  9,  8,  10.07,  67.89,   0.00,  139,    8
2025, 10,  9,   9.63,  47.66,   0.00,  163,   12
2025, 11, 10,   9.73,  36.18,   0.00,  181,   21
2025, 12, 11,  14.66,  33.43,   0.00,  178,   41
2026,  1, 12,  16.16,  33.82,   0.00,  121,   78
2026,  2, 13,  17.68,  38.45,   0.00,   15,  103
2026,  3, 14,  19.67,  64.80,   0.00,    0,   25
2026,  4, 15,  22.15,  65.44,   0.04,    0,    2
2026,  5, 16,  18.43,  76.39,   0.04,    0,    0
2026,  6, 17,  16.65,  82.07,   0.04,    0,    0
2026,  7, 18,  15.34,  79.19,   0.04,    0,    0
2026,  8, 19,  11.84,  69.99,   0.05,    0,    0
2026,  9, 20,  10.28,  65.71,   0.18,    0,    0
2026, 10, 21,  10.77,  52.83,  19.36,    0,    0
2026, 11, 22,  10.17,  41.52, 117.03,    1,    0
2026, 12, 23,  15.12,  46.84, 164.24,    2,    1
2027,  1, 24,  18.35,  32.08, 188.81,    3,    2
2027,  2, 25,  17.59,  46.38, 223.26,    4,    2
2027,  3, 26,  21.45,  48.67, 231.98,    6,    2
2027,  4, 27,  20.19,  72.98, 225.98,    8,    2
2027,  5, 28,  17.32,  65.43, 218.07,   11,    2
2027,  6, 29,  14.81,  78.47, 207.07,   14,    2
2027,  7, 30,  15.33,  74.08, 193.07,   18,    2
2027,  8, 31,  12.16,  82.19, 175.07,   23,    2
2027,  9, 32,   9.36,  60.51, 153.55,   30,    2
2027, 10, 33,  10.25,  52.33, 145.42,   39,    2
2027, 11, 34,  11.43,  46.11, 173.88,   50,    2
2027, 12, 35,  11.60,  41.31, 219.67,   64,    3
2028,  1, 36,  18.28,  39.43, 205.89,   81,    4
2028,  2, 37,  20.13,  54.47, 129.30,  101,    5
2028,  3, 38,  21.75,  50.51,  36.64,  124,    6
2028,  4, 39,  20.21,  67.98,   0.00,  149,    9
2028,  5, 40,  17.91,  77.90,   0.00,  172,   15
2028,  6, 41,  18.07,  78.12,   0.00,  183,   28
2028,  7, 42,  12.77,  85.90,   0.00,  161,   55
2028,  8, 43,  12.33,  68.72,   0.00,   76,   95
2028,  9, 44,   9.95,  62.18,   0.00,    0,   81
2028, 10, 45,   9.56,  63.95,   0.32,    0,    8
2028, 11, 46,  12.19,  49.00,  42.69,    0,    0
2028, 12, 47,  15.14,  39.47, 119.24,    1,    0
2029,  1, 48,  17.81,  38.65, 171.58,    2,    1
2029,  2, 49,  20.89,  49.54, 181.87,    3,    2
2029,  3, 50,  19.66,  54.47, 183.72,    4,    2
2029,  4, 51,  22.48,  74.18, 179.72,    6,    2
2029,  5, 52,  20.77,  67.10, 173.74,    8,    2
2029,  6, 53,  16.28,  82.14, 165.74,   11,    2
2029,  7, 54,  12.57,  81.71, 154.74,   14,    2
2029,  8, 55,   9.99,  79.86, 140.74,   18,    2
2029,  9, 56,   8.11,  64.12, 123.02,   23,    2
2029, 10, 57,   8.31,  48.57, 146.62,   30,    2
2029, 11, 58,  10.42,  46.99, 177.88,   39,    2
2029, 12, 59,  15.07,  34.07, 193.29,   50,    2
2030,  1, 60,  15.06,  32.74, 189.03,   64,    3
2030,  2, 61,  20.28,  45.77, 149.93,   81,    4
2030,  3, 62,  22.54,  64.52,  68.98,  101,    5
2030,  4, 63,  20.33,  68.87,   0.00,  122,    6
2030,  5, 64,  18.72,  79.14,   0.00,  146,    8
2030,  6, 65,  15.48,  75.20,   0.00,  171,   13
2030,  7, 66,  12.42,  81.01,   0.00,  187,   24
2030,  8, 67,  11.69,  67.19,   0.00,  175,   48
2030,  9, 68,  10.38,  57.69,   0.00,  101,   89
2030, 10, 69,  10.18,  48.11,   0.00,    0,   99
2030, 11, 70,  12.56,  37.35,  87.31,    0,    9
2030, 12, 71,  13.53,  31.73, 131.86,    1,    0
