Months,Precipitation (inch),Temperature (F),GrainHeight (inch),NumDeer,NumWolf
   0,  16.13,  47.49, 319.21,   25,    3
   1,  20.44,  51.52, 303.14,   32,    3
   2,  19.59,  63.06, 271.34,   41,    3
   3,  21.87,  61.88, 230.54,   52,    3
   4,  19.46,  69.70, 178.55,   66,    3
   5,  17.07,  78.87, 112.55,   83,    4
   6,  13.50,  76.61,  29.55,  103,    5
   7,  12.42,  83.19,   0.00,  125,    6
   8,  10.07,  67.89,   0.00,  150,    9
   9,   9.63,  47.66,   0.00,  173,   15
  10,   9.73,  36.18,   0.00,  184,   28
  11,  14.66,  33.43,   0.00,  161,   55
  12,  16.16,  33.82,   0.00,   76,   95
  13,  17.68,  38.45,   0.00,    0,   81
  14,  19.67,  64.80,   0.08,    0,    8
  15,  22.15,  65.44,   0.12,    0,    0
  16,  18.43,  76.39,   0.12,    0,    0
  17,  16.65,  82.07,   0.12,    0,    0
  18,  15.34,  79.19,   0.12,    0,    0
  19,  11.84,  69.99,   0.13,    0,    0
  20,  10.28,  65.71,   0.27,    0,    0
  21,  10.77,  52.83,  19.44,    0,    0
  22,  10.17,  41.52, 117.12,    1,    0
  23,  15.12,  46.84, 164.32,    2,    1
  24,  18.35,  32.08, 188.90,    3,    2
  25,  17.59,  46.38, 223.34,    4,    2
  26,  21.45,  48.67, 232.06,    6,    2
  27,  20.19,  72.98, 226.06,    8,    2
  28,  17.32,  65.43, 218.15,   11,    2
  29,  14.81,  78.47, 207.15,   14,    2
  30,  15.33,  74.08, 193.15,   18,    2
  31,  12.16,  82.19, 175.15,   23,    2
  32,   9.36,  60.51, 153.64,   30,    2
  33,  10.25,  52.33, 145.50,   39,    2
  34,  11.43,  46.11, 173.97,   50,    2
  35,  11.60,  41.31, 219.76,   64,    3
  36,  18.28,  39.43, 205.97,   81,    4
  37,  20.13,  54.47, 129.39,  101,    5
  38,  21.75,  50.51,  36.72,  124,    6
  39,  20.21,  67.98,   0.00,  149,    9
  40,  17.91,  77.90,   0.00,  172,   15
  41,  18.07,  78.12,   0.00,  183,   28
  42,  12.77,  85.90,   0.00,  161,   55
  43,  12.33,  68.72,   0.00,   76,   95
  44,   9.95,  62.18,   0.00,    0,   81
  45,   9.56,  63.95,   0.32,    0,    8
  46,  12.19,  49.00,  42.69,    0,    0
  47,  15.14,  39.47, 119.24,    1,    0
  48,  17.81,  38.65, 171.58,    2,    1
  49,  20.89,  49.54, 181.87,    3,    2
  50,  19.66,  54.47, 183.72,    4,    2
  51,  22.48,  74.18, 179.72,    6,    2
  52,  20.77,  67.10, 173.74,    8,    2
  53,  16.28,  82.14, 165.74,   11,    2
  54,  12.57,  81.71, 154.74,   14,    2
  55,   9.99,  79.86, 140.74,   18,    2
  56,   8.11,  64.12, 123.02,   23,    2
  57,   8.31,  48.57, 146.62,   30,    2
  58,  10.42,  46.99, 177.88,   39,    2
  59,  15.07,  34.07, 193.29,   50,    2
  60,  15.06,  32.74, 189.03,   64,    3
  61,  20.28,  45.77, 149.93,   81,    4
  62,  22.54,  64.52,  68.98,  101,    5
  63,  20.33,  68.87,   0.00,  122,    6
  64,  18.72,  79.14,   0.00,  146,    8
  65,  15.48,  75.20,   0.00,  171,   13
  66,  12.42,  81.01,   0.00,  187,   24
  67,  11.69,  67.19,   0.00,  175,   48
  68,  10.38,  57.69,   0.00,  101,   89
  69,  10.18,  48.11,   0.00,    0,   99
  70,  12.56,  37.35,  87.31,    0,    9
  71,  13.53,  31.73, 131.86,    1,    0
